SSC_CODE_2016,SSC_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RATIO,PERCENTAGE
22823,Woodhouse,217,Warrnambool and South West,1,100
22824,Woodleigh (Vic.),205,Latrobe - Gippsland,1,100
22825,Woods Point (Vic.),204,Hume,0.9999997,99.9999714
22826,Woodside (Vic.),205,Latrobe - Gippsland,1,100
22827,Woodside Beach,205,Latrobe - Gippsland,1,100
22828,Woodstock (Vic.),209,Melbourne - North East,1,100
22829,Woodstock On Loddon,202,Bendigo,1,100
22830,Woodstock West,202,Bendigo,1,100
22831,Woodvale (Vic.),202,Bendigo,1,100
22832,Wool Wool,217,Warrnambool and South West,1,100
22833,Woolamai,205,Latrobe - Gippsland,1,100
22834,Woolenook,205,Latrobe - Gippsland,1,100
22835,Woolshed Flat (Vic.),202,Bendigo,1,100
22836,Woolsthorpe,217,Warrnambool and South West,1,100
22837,Woomelang,215,North West,1,100
22838,Wooragee,204,Hume,1,100
22839,Woorarra East,205,Latrobe - Gippsland,1,100
22840,Woorarra West,205,Latrobe - Gippsland,1,100
22841,Wooreen,205,Latrobe - Gippsland,1,100
22842,Woori Yallock,211,Melbourne - Outer East,1,100
22843,Woorinen,215,North West,1,100
22844,Woorinen North,215,North West,1,100
22845,Woorinen South,215,North West,1,100
22846,Woorndoo,215,North West,0.0975609,9.7560934
22846,Woorndoo,217,Warrnambool and South West,0.9024391,90.2439066
22847,Wooroonook,215,North West,1,100
22848,Woosang,202,Bendigo,0.7692308,76.9230769
22848,Woosang,215,North West,0.2307692,23.0769231
22849,Wootong Vale,217,Warrnambool and South West,1,100
22850,Worrowing,205,Latrobe - Gippsland,1,100
22851,Wrathung,205,Latrobe - Gippsland,1,100
22852,Wrixon,205,Latrobe - Gippsland,1,100
22853,Wroxham,205,Latrobe - Gippsland,1,100
22854,Wuk Wuk,205,Latrobe - Gippsland,1,100
22855,Wulgulmerang,205,Latrobe - Gippsland,1,100
22856,Wulgulmerang East,205,Latrobe - Gippsland,1,100
22857,Wulgulmerang West,205,Latrobe - Gippsland,1,100
22858,Wunghnu,216,Shepparton,1,100
22859,Wurdiboluc,203,Geelong,1,100
22860,Wurruk,205,Latrobe - Gippsland,1,100
22861,Wy Yung,205,Latrobe - Gippsland,1,100
22862,Wycheproof,215,North West,1,100
22863,Wycheproof South,215,North West,1,100
22864,Wychitella,202,Bendigo,1,100
22865,Wychitella North,202,Bendigo,1,100
22866,Wye River,217,Warrnambool and South West,1,100
22867,Wyelangta,217,Warrnambool and South West,1,100
22868,Wyndham Vale,213,Melbourne - West,1,100
22869,Wyuna (Vic.),216,Shepparton,1,100
22870,Wyuna East,216,Shepparton,1,100
22871,Yaapeet,215,North West,1,100
22872,Yabba North,216,Shepparton,1,100
22873,Yabba South,216,Shepparton,1,100
22874,Yackandandah,204,Hume,1,100
22875,Yalca,216,Shepparton,1,100
22876,Yalla-Y-Poora,215,North West,1,100
22877,Yallambie,209,Melbourne - North East,1,100
22878,Yallourn,205,Latrobe - Gippsland,1,100
22879,Yallourn North,205,Latrobe - Gippsland,1,100
22880,Yalmy,205,Latrobe - Gippsland,1,100
22881,Yambuk,217,Warrnambool and South West,1,100
22882,Yambuna,216,Shepparton,1,100
22883,Yan Yean,209,Melbourne - North East,1,100
22884,Yanac,215,North West,1,100
22885,Yanakie,205,Latrobe - Gippsland,1,100
22886,Yando,202,Bendigo,1,100
22887,Yandoit,201,Ballarat,1,100
22888,Yandoit Hills,202,Bendigo,1,100
22889,Yangery,217,Warrnambool and South West,1,100
22890,Yangoura,205,Latrobe - Gippsland,1,100
22891,Yannathan,212,Melbourne - South East,1,100
22892,Yapeen,202,Bendigo,1,100
22893,Yarck,204,Hume,1,100
22894,Yarpturk,217,Warrnambool and South West,1,100
22895,Yarra Glen,211,Melbourne - Outer East,1,100
22896,Yarra Junction,211,Melbourne - Outer East,1,100
22897,Yarraberb,202,Bendigo,1,100
22898,Yarragon,205,Latrobe - Gippsland,1,100
22899,Yarragon South,205,Latrobe - Gippsland,1,100
